date,weekday,block,room,start_time,end_time,order,full_name,title,mentor,field
2026-08-06,Thursday,T1,32-124,9:00 AM,9:16 AM,1,Mira Cakmak,Visualizing Neuropsychological Profiles in Patients with Alzheimer's Disease,Dr. Daniel Press and Dr. Hsueh-Sheng Chiang,Neuroscience & Psychology
2026-08-06,Thursday,T1,32-124,9:16 AM,9:32 AM,2,Zephyr Larson,Understanding the Role of Radiative Feedbacks and Forcings in the Land-Sea Warming Contrast,Prof. Paul O'Gorman,"Earth, Ocean & Climate"
2026-08-06,Thursday,T1,32-124,9:32 AM,9:48 AM,3,Riya Mehrotra,Simplified Volume Formulas for Tetrahedron by Edge-length Symmetry Class,Prof. Eric Grinberg,Math
2026-08-06,Thursday,T1,32-124,9:48 AM,10:04 AM,4,Tara Saini,Enumerating Index-Two and Index-Three Nilpotent Matrices in Symplectic Lie Algebras,Prof. Eric Grinberg,Math
2026-08-06,Thursday,T1,32-124,10:04 AM,10:20 AM,5,Xindi Luo,Triangular Taxicabs,Prof. Eric Grinberg,Math
2026-08-06,Thursday,T1,32-124,10:20 AM,10:36 AM,6,Kai Xuen Toh,Detecting Life in the Clouds: The Feasibility of Using UV Phase Delay Sensing on Venus,Prof. Sara Seager,Astronomy & Planetary Science
2026-08-06,Thursday,T1,32-141,9:00 AM,9:16 AM,1,Mahi Kohli,Worming Our Way Out: Analyzing How Developmental Exposure to UNC-31 Degradation and TIR1 affect brain dynamics of C. elegans,Prof. Vivek Venkatachalam,Biology & Medicine
2026-08-06,Thursday,T1,32-141,9:16 AM,9:32 AM,2,Alejandra Stephanie Perry,Critical Windows for Neuromodulatory Recovery: Reversible UNC-31 Depletion in Caenorhabditis elegans Development,Prof. Vivek Venkatachalam,Biology & Medicine
2026-08-06,Thursday,T1,32-141,9:32 AM,9:48 AM,3,Ferris Li,Building a Machine Learning Model to Track Many C. elegans Worms Simultaneously and Resolve Collisions,Prof. Vivek Venkatachalam,Computer Science & AI
2026-08-06,Thursday,T1,32-141,9:48 AM,10:04 AM,4,Lincoln Liu,Heat Evolution on Graphs,Alexander McWeeney,Math
2026-08-06,Thursday,T1,32-141,10:04 AM,10:20 AM,5,Tony Lu,Asymptotics for Curve Shortening Flow with Boundary,Alexander McWeeney,Math
2026-08-06,Thursday,T1,32-141,10:20 AM,10:36 AM,6,Siddhi Kochar,Constraints on Cosmic Reionization and the Thomson Optical Depth via the Population III.1 Flash Model,Dr. James Sullivan,Astronomy & Planetary Science
2026-08-06,Thursday,T1,32-155,9:00 AM,9:16 AM,1,Michael Luo,Resolving a Conjecture on Stack-Sorting,Ryota Inagaki,Math
2026-08-06,Thursday,T1,32-155,9:16 AM,9:32 AM,2,Sirius Sun,Critical Groups of Signed Subdivided Wheels,Ryota Inagaki,Math
2026-08-06,Thursday,T1,32-155,9:32 AM,9:48 AM,3,Anushka Tonapi,On Counting Prime Solutions to Quadratic Forms via the Hardy-Littlewood Circle Method,Siqi Wu,Math
2026-08-06,Thursday,T1,32-155,9:48 AM,10:04 AM,4,Grisham Paimagam,Sphere Packing on Grassmannians,Siqi Wu,Math
2026-08-06,Thursday,T1,32-155,10:04 AM,10:20 AM,5,Benson Hsueh,The Center Configuration Problem for Single-Robot Reconfiguration,Timothy Gomez,Computer Science & AI
2026-08-06,Thursday,T1,32-155,10:20 AM,10:36 AM,6,Matey Minev,Before the Final Assembly: Temporal Leakage and Process Privacy in Covert Tile Automata,Timothy Gomez,Computer Science & AI
2026-08-06,Thursday,T2,32-124,11:00 AM,11:16 AM,1,Katrina Liu,Temporal Preferential Attachment Trees,Hang Du,Math
2026-08-06,Thursday,T2,32-124,11:16 AM,11:32 AM,2,Miguel Shim,Information Flow in Self Organizing Systems,Ashu Tripathi,Physics
2026-08-06,Thursday,T2,32-124,11:32 AM,11:48 AM,3,Sylvia Lee,Life is a Game: Learning Dynamical Systems with Neural Cellular Automata,Ashu Tripathi,Physics
2026-08-06,Thursday,T2,32-124,11:48 AM,12:04 PM,4,Pavan Subramani,The computational conversion of a singular apo structure to an ensemble of holo structures for more accurate molecular docking,Dr. Mrinal Shekhar,Chemistry & Materials
2026-08-06,Thursday,T2,32-124,12:04 PM,12:20 PM,5,Cassidy Stocker,Effect of ZAP70 Mutations on CAR T-Cell Effectiveness Targeting GD2 in Brain Tumors,Dr. Robbie G. Majzner,Biology & Medicine
2026-08-06,Thursday,T2,32-124,12:20 PM,12:36 PM,6,Sara Mitchell,Identifying Alternative Stimulatory Receptors for TCR-independent Activation of T-cells,Dr. Robbie G. Majzner,Biology & Medicine
2026-08-06,Thursday,T2,32-141,11:00 AM,11:16 AM,1,Nikola Veselinov,On Supersingular Isogeny Graphs of Drinfeld Modules,Ayan Nath,Math
2026-08-06,Thursday,T2,32-141,11:16 AM,11:32 AM,2,Timothy Chen,Open Cases of the Colmez Conjecture,Ayan Nath,Math
2026-08-06,Thursday,T2,32-141,11:32 AM,11:48 AM,3,Mustafa Bakhodirov,Patient-Specific Modeling of Brain and Cerebrospinal Fluid Response to Rapid Head Acceleration in Chiari I Malformation,Prof. Francis Loth and Hannah Higgins,Engineering
2026-08-06,Thursday,T2,32-141,11:48 AM,12:04 PM,4,Asher Wang,Sinusoidal Representation Networks for Neural Renormalization-Group Flows on the1D and 2D Ising Models,Dr. Howard Chen,Physics
2026-08-06,Thursday,T2,32-141,12:04 PM,12:20 PM,5,Jay Athipatla,DC-MTNN: A Drug-Conditioned Multi-Task Neural Network for Predicting Drug Resistance in Mycobacterium tuberculosis Using Genomic Data,Dr. Sean Carroll,Computer Science & AI
2026-08-06,Thursday,T2,32-141,12:20 PM,12:36 PM,6,Leyu Girma,Explicit Free Resolutions for Central Quotients of Cyclic Amalgams,Dr. Sean Carroll,Math
2026-08-06,Thursday,T2,32-155,11:00 AM,11:16 AM,1,Eason Turner,Searching for Eclipses in X-Ray Sources,Dr. Rosanne Di Stefano,Astronomy & Planetary Science
2026-08-06,Thursday,T2,32-155,11:16 AM,11:32 AM,2,Lluc Simon,Hybrid controls strategy for Automatic Laser Beam Alignment,Prof. Vladan Vuletic,Physics
2026-08-06,Thursday,T2,32-155,11:32 AM,11:48 AM,3,Mikołaj Stefaniak,Optical pulse shaping for quantum-enhanced clocks,Prof. Vladan Vuletic,Physics
2026-08-06,Thursday,T2,32-155,11:48 AM,12:04 PM,4,Alejandro Mayorga,Liquid Foundation Models as Medical Assistants,Dr. Bo Wu,Computer Science & AI
2026-08-06,Thursday,T2,32-155,12:04 PM,12:20 PM,5,Eric Buehler,Teaching a Medical Vision-Language Model with Automatic Feedback,Dr. Bo Wu,Computer Science & AI
2026-08-06,Thursday,T2,32-155,12:20 PM,12:36 PM,6,Layth Alzahrani,Crown–Root Segmentation in Dental CBCT Using Anatomically Guided Synthetic Annotation,Dr. Bo Wu,Computer Science & AI
2026-08-06,Thursday,T3,32-124,1:15 PM,1:31 PM,1,Atharva Tyagi,Temporal Mapping of Doxorubicin-Induced Alterations in Autophagic Flux in hiPSC-Derived Cardiomyocytes,Prof. Pierre F.J Lermusiaux,Biology & Medicine
2026-08-06,Thursday,T3,32-124,1:31 PM,1:47 PM,2,Ayush Vispute,Optimizing Quasi Geostrophic Flow Solving An Embedded Neural Network,Prof. Pierre F.J Lermusiaux,"Earth, Ocean & Climate"
2026-08-06,Thursday,T3,32-124,1:47 PM,2:03 PM,3,Bryan Cho,Parametric study of regime transitions in quasi-turbulence,Prof. Pierre F.J Lermusiaux,"Earth, Ocean & Climate"
2026-08-06,Thursday,T3,32-124,2:03 PM,2:19 PM,4,Claire Zhan,Efficient Patching for Generative Super Resolution of Turbulent Flow Fields,Prof. Pierre F.J Lermusiaux,"Earth, Ocean & Climate"
